,type,area,bed,bath,toilet,price
547,semi detached duplex,Ladipo,4 ,3 ,4 ,2200000
548,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
549,detached duplex,Lekki,5 ,5 ,6 ,4500000
550,detached duplex,Ajah,4 ,4 ,5 ,3600000
551,flat / apartment,Victoria Island,3 ,3 ,4 ,13000000
552,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
553,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
554,terraced duplex,Ikoyi,4 ,4 ,5 ,13000000
555,flat / apartment,Ikoyi,3 ,3 ,4 ,10000000
556,flat / apartment,Ikoyi,3 ,3 ,4 ,9000000
557,flat / apartment,Lekki,2 ,2 ,3 ,2000000
558,flat / apartment,Lekki,3 ,3 ,4 ,2300000
559,terraced duplex,Lekki,4 ,4 ,5 ,3000000
560,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
561,flat / apartment,Surulere,3 ,3 ,4 ,1100000
562,semi detached duplex,Ikoyi,5 ,5 ,6 ,15000000
563,flat / apartment,Lekki,3 ,3 ,4 ,4500000
564,terraced duplex,Oniru,4 ,4 ,5 ,5000000
565,flat / apartment,Ikoyi,3 ,4 ,4 ,12000000
566,flat / apartment,Lekki,3 ,3 ,4 ,2000000
567,flat / apartment,Ikoyi,2 ,2 ,3 ,10000000
568,semi detached duplex,Lekki,4 ,4 ,4 ,3500000
569,flat / apartment,Lekki,3 ,3 ,4 ,6500000
570,flat / apartment,Ikoyi,2 ,2 ,3 ,10000000
571,semi detached duplex,Lekki,6 ,6 ,7 ,6500000
572,semi detached duplex,Lekki,5 ,5 ,6 ,7000000
573,flat / apartment,Oniru,3 ,3 ,4 ,3500000
574,flat / apartment,Ikoyi,3 ,3 ,4 ,6500000
575,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
576,flat / apartment,Ikoyi,2 ,2 ,3 ,6500000
577,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
578,terraced duplex,Ikoyi,3 ,3 ,4 ,15000000
579,shop,Lekki,,,,3500000
580,semi detached duplex,Lekki,3 ,3 ,4 ,4500000
581,flat / apartment,Victoria Island,3 ,3 ,4 ,15000000
582,flat / apartment,Anthony Village,3 ,3 ,4 ,1800000
583,flat / apartment,Oniru,3 ,3 ,4 ,3000000
584,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
585,flat / apartment,Ikoyi,2 ,2 ,3 ,7000000
586,semi detached duplex,Ikoyi,4 ,4 ,5 ,15000000
587,flat / apartment,Ikoyi,3 ,3 ,4 ,7500000
588,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
589,flat / apartment,Ojuelegba,2 ,2 ,2 ,1300000
590,terraced duplex,Lekki,4 ,4 ,5 ,5000000
591,flat / apartment,Maryland,3 ,3 ,4 ,3000000
592,flat / apartment,Ikoyi,3 ,4 ,4 ,7000000
593,terraced duplex,Ikoyi,4 ,4 ,5 ,18000000
594,terraced duplex,Ikoyi,4 ,4 ,5 ,15000000
595,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
596,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
597,flat / apartment,Ikoyi,4 ,4 ,5 ,15000000
598,semi detached duplex,Ikoyi,4 ,4 ,5 ,6000000
599,terraced duplex,Lekki,4 ,4 ,5 ,5000000
600,flat / apartment,Ikoyi,3 ,3 ,4 ,15000000
601,flat / apartment,Ikoyi,3 ,3 ,4 ,50000
602,semi detached duplex,Lekki,4 ,4 ,5 ,3500000
603,flat / apartment,Ikoyi,3 ,3 ,4 ,11000000
604,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
605,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
606,flat / apartment,Ikoyi,2 ,2 ,3 ,8000000
607,flat / apartment,Lekki,4 ,4 ,5 ,120000000
608,flat / apartment,Victoria Island,3 ,3 ,4 ,10000000
609,flat / apartment,Adeniyi Jones,3 ,,,13000000
610,flat / apartment,Ikoyi,3 ,3 ,4 ,6000000
611,semi detached duplex,Lekki,4 ,4 ,5 ,3800000
612,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
613,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
614,flat / apartment,Lekki,3 ,3 ,4 ,800000
615,terraced duplex,Ikoyi,4 ,4 ,5 ,9000000
616,terraced duplex,Lekki,4 ,4 ,5 ,6000000
617,flat / apartment,Ikoyi,3 ,3 ,4 ,8500000
618,flat / apartment,Lekki,2 ,2 ,3 ,35000000
619,flat / apartment,Ikoyi,2 ,2 ,3 ,6000000
620,flat / apartment,Lekki,3 ,3 ,4 ,2500000
621,semi detached duplex,Lekki,3 ,3 ,4 ,3500000
622,terraced duplex,Lekki,3 ,4 ,5 ,4000000
623,terraced duplex,Ikoyi,3 ,3 ,4 ,13000000
624,terraced duplex,Ikoyi,4 ,4 ,5 ,12000000
625,flat / apartment,Lekki,3 ,3 ,4 ,50000
626,detached duplex,Oniru,5 ,5 ,6 ,5000000
627,flat / apartment,Ikoyi,2 ,2 ,3 ,4500000
628,flat / apartment,Lekki,3 ,3 ,4 ,2800000
629,flat / apartment,Lekki,4 ,4 ,5 ,12000000
630,flat / apartment,Ikoyi,3 ,3 ,4 ,5000000
631,semi detached duplex,Lekki,7 ,7 ,8 ,6000000
632,terraced duplex,Lekki,4 ,4 ,5 ,3000000
633,semi detached duplex,Lekki,4 ,4 ,5 ,4000000
634,flat / apartment,Lekki,1 ,1 ,2 ,2000000
635,terraced duplex,Ikoyi,5 ,5 ,6 ,7000000
636,detached duplex,Lekki,5 ,5 ,6 ,4500000
637,flat / apartment,Lekki,3 ,3 ,4 ,3500000
638,flat / apartment,Surulere,2 ,2 ,2 ,1200000
639,flat / apartment,Ikoyi,4 ,4 ,4 ,12000000
640,terraced duplex,Ikoyi,4 ,4 ,5 ,5500000
641,flat / apartment,Oniru,3 ,3 ,4 ,3500000
642,terraced duplex,Lekki,4 ,4 ,5 ,3000000
643,terraced duplex,Ikoyi,4 ,4 ,5 ,8000000
644,flat / apartment,Lekki,3 ,3 ,4 ,4500000
645,semi detached duplex,Lekki,4 ,4 ,5 ,6500000
646,detached duplex,Ikoyi,4 ,4 ,5 ,12500000
647,flat / apartment,Ikoyi,3 ,3 ,3 ,11000000
648,flat / apartment,Lekki,3 ,3 ,4 ,3800000
649,flat / apartment,Victoria Island,2 ,2 ,3 ,10000000
650,flat / apartment,Ikoyi,4 ,4 ,5 ,12000000
651,flat / apartment,Ikoyi,5 ,5 ,6 ,7000000
