,title,address,date_added,bed,bath,toilet,price
912,4 BEDROOM TERRACED DUPLEX HOUSE FOR SALE,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 09 Aug 2020",4 beds,5 baths,6 Toilets,"120,000,000"
913,FLAT / APARTMENT FOR RENT,...Shomolu Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",0 beds,0 baths,0 Toilets,"650,000"
914,4 BEDROOM FLAT / APARTMENT FOR RENT,Off Kingsway Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Sep 2020",4 beds,4 baths,5 Toilets,"8,000,000"
915,DETACHED DUPLEX HOUSE FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 03 Nov 2019",beds,baths,Toilets,"30,000,000"
916,OFFICE SPACE COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 02 Nov 2019",beds,baths,Toilets,"30,000,000"
917,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikeja GRA.Lagos MainlandIkeja Gra Ikeja Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",5 beds,5 baths,6 Toilets,"13,000,000"
918,3 BEDROOM FLAT / APARTMENT FOR RENT,Ajao estate IsoloAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",3 beds,3 baths,4 Toilets,"12,000,000"
919,FLAT / APARTMENT FOR RENT,Norman Williams Ikoyi Lagos,"Updated 17 Nov 2020, Added 29 Jun 2020",beds,baths,Toilets,"7,000,000"
920,4 BEDROOM FLAT / APARTMENT FOR RENT,Residential Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 18 Feb 2020",4 beds,4 baths,5 Toilets,"18,000,000"
921,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 26 Jun 2020",4 beds,4 baths,5 Toilets,"10,000,000"
922,SELF CONTAIN FLAT / APARTMENT FOR RENT,Oke Afa Isolo.Lagos MainlandOke Afa Isolo Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",0 beds,0 baths,0 Toilets,"120,000"
923,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
924,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
925,1 BEDROOM MINI FLAT FLAT / APARTMENT FOR RENT,-Ifako Gbagada Gbagada Lagos,"Updated 17 Nov 2020, Added 12 Nov 2020",1 beds,1 baths,1 Toilets,"450,000"
926,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Oct 2019",4 beds,baths,Toilets,"12,000,000"
927,1 BEDROOM MINI FLAT FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Oct 2019",1 beds,baths,Toilets,"5,000,000"
928,4 BEDROOM HOUSE FOR RENT,...Lekki Lagos,"Updated 17 Nov 2020, Added 11 Oct 2020",4 beds,0 baths,0 Toilets,"5,000,000"
929,COMMERCIAL PROPERTY FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 13 Oct 2019",beds,baths,Toilets,"35,000,000"
930,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Extension Victoria Island Lagos,"Updated 17 Nov 2020, Added 15 Dec 2019",3 beds,3 baths,3 Toilets,"10,000,000"
931,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 06 Nov 2019",3 beds,3 baths,3 Toilets,"15,000,000"
932,3 BEDROOM HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",3 beds,3 baths,4 Toilets,"4,000,000"
933,2 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 04 Nov 2019",2 beds,baths,Toilets,"15,000,000"
934,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE,Chevron chevron Lekki Lagos,"Updated 17 Nov 2020, Added 12 Nov 2020",4 beds,4 baths,5 Toilets,"70,000,000"
935,3 BEDROOM FLAT / APARTMENT FOR RENT,Gerard Road Ikoyi Lagos,"Updated 17 Nov 2020, Added 20 May 2020",3 beds,3 baths,4 Toilets,"8,000,000"
936,4 BEDROOM FLAT / APARTMENT FOR RENT,Adeola Odeku Victoria Island Lagos,"Updated 17 Nov 2020, Added 03 Nov 2019",4 beds,baths,Toilets,"18,000,000"
937,4 BEDROOM FLAT / APARTMENT FOR RENT,Atunrase Medina Gbagada Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",4 beds,baths,Toilets,"3,800,000"
938,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",3 beds,3 baths,4 Toilets,"5,000,000"
939,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 08 Jul 2020",3 beds,3 baths,4 Toilets,"15,000,000"
940,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 03 Jul 2020",2 beds,2 baths,3 Toilets,"8,000,000"
941,SELF CONTAIN FLAT / APARTMENT FOR RENT,-Yaba Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",beds,baths,Toilets,"600,000"
942,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Nov 2019",4 beds,4 baths,4 Toilets,"12,000,000"
943,3 BEDROOM FLAT / APARTMENT FOR RENT,....Gbagada Lagos,"Updated 17 Nov 2020, Added 19 Oct 2020",3 beds,0 baths,0 Toilets,"2,000,000"
944,10 BEDROOM HOTEL/GUEST HOUSE COMMERCIAL PROPERTY FOR RENT,-Airport Road(ikeja) Ikeja Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",10 beds,10 baths,10 Toilets,"20,000,000"
945,4 BEDROOM FLAT / APARTMENT FOR RENT,Mojisola Onikoyi Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 Aug 2020",4 beds,4 baths,4 Toilets,"15,000,000"
946,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
947,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,"Updated 17 Nov 2020, Added 01 Nov 2020",3 beds,2 baths,3 Toilets,"3,000,000"
948,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Ikeja GRA.Lagos MainlandIkeja Gra Ikeja Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",5 beds,5 baths,6 Toilets,"15,000,000"
949,MINI FLAT FLAT / APARTMENT FOR RENT,Sabo Yaba Lagos,"Updated 17 Nov 2020, Added 16 Nov 2020",beds,baths,Toilets,"500,000"
950,3 BEDROOM FLAT / APARTMENT FOR RENT,-Fola Agoro Yaba Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",3 beds,0 baths,0 Toilets,"1,000,000"
951,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",3 beds,baths,Toilets,"15,000,000"
952,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 04 Nov 2019",3 beds,baths,Toilets,"12,000,000"
953,3 BEDROOM FLAT / APARTMENT FOR RENT,Mafoluku Lagos MainlandMafoluku Oshodi Lagos,"Updated 17 Nov 2020, Added 27 Aug 2020",3 beds,3 baths,4 Toilets,"850,000"
954,3 BEDROOM FLAT / APARTMENT FOR RENT,Gbagada Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",3 beds,baths,Toilets,"3,500,000"
955,2 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Jun 2020",2 beds,2 baths,3 Toilets,"8,000,000"
956,COMMERCIAL LAND LAND FOR SALE,"Fountain springville Estate, Sangotedo, lagos. Sangotedo Lagos","Updated 18 Nov 2020, Added 15 Sep 2020",beds,baths,Toilets,"450,000,000"
957,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",4 beds,4 baths,5 Toilets,"8,000,000"
958,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Ajao Estate Isolo.Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 01 Oct 2020",1 beds,1 baths,1 Toilets,"450,000"
959,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Osapa London Lekki Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",4 beds,4 baths,5 Toilets,"4,000,000"
960,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 01 Nov 2020",3 beds,3 baths,4 Toilets,"4,000,000"
961,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru estate Victoria island Lagos Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Feb 2020",3 beds,3 baths,3 Toilets,"4,000,000"
962,3 BEDROOM FLAT / APARTMENT FOR RENT,....Yaba Lagos,"Updated 17 Nov 2020, Added 19 Oct 2020",3 beds,0 baths,0 Toilets,"1,200,000"
963,2 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",2 beds,2 baths,3 Toilets,"3,000,000"
964,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 28 Sep 2020",3 beds,baths,Toilets,"3,700,000"
965,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Omole Phase 1 Ojodu Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",5 beds,5 baths,6 Toilets,"6,000,000"
966,3 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,-Medina Gbagada Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",3 beds,3 baths,4 Toilets,"2,500,000"
967,3 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 17 Aug 2020",3 beds,3 baths,3 Toilets,"16,000,000"
968,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
969,3 BEDROOM FLAT / APARTMENT FOR RENT,Bourdillion road ikoyi Lagos state Nigeria Bourdillon Ikoyi Lagos,"Updated 17 Nov 2020, Added 28 Jan 2020",3 beds,3 baths,3 Toilets,"13,000,000"
970,3 BEDROOM FLAT / APARTMENT FOR RENT,Elegba festival driveOniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",3 beds,3 baths,4 Toilets,"4,000,000"
971,3 BEDROOM FLAT / APARTMENT FOR RENT,Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 02 Oct 2020",3 beds,baths,Toilets,"1,500,000"
972,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT,Ajao Estate Isolo. Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",3 beds,3 baths,4 Toilets,"900,000"
973,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 23 Sep 2020",4 beds,4 baths,5 Toilets,"4,300,000"
974,3 BEDROOM FLAT / APARTMENT FOR RENT,Ikate Lekki Lagos,"Updated 17 Nov 2020, Added 01 Nov 2020",3 beds,3 baths,4 Toilets,"2,500,000"
975,3 BEDROOM FLAT / APARTMENT FOR RENT,Mojisola Onikoyi Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 11 Aug 2020",3 beds,3 baths,3 Toilets,"13,000,000"
976,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 05 Nov 2020",3 beds,3 baths,3 Toilets,"4,000,000"
977,4 BEDROOM HOUSE FOR RENT,VIVictoria Island Lagos,"Updated 17 Nov 2020, Added 16 Nov 2019",4 beds,4 baths,4 Toilets,"30,000,000"
978,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE,Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Jun 2020",1 beds,1 baths,2 Toilets,"50,000,000"
979,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Conservation road lekki lagos state Nigeria Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 04 Jun 2020",4 beds,4 baths,4 Toilets,"4,000,000"
980,3 BEDROOM FLAT / APARTMENT FOR RENT,...Shomolu Shomolu Lagos,"Updated 17 Nov 2020, Added 03 Nov 2020",3 beds,0 baths,0 Toilets,"900,000"
981,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,-Ogudu Gra Ogudu Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",4 beds,4 baths,5 Toilets,"3,200,000"
982,4 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 30 Sep 2020",4 beds,4 baths,5 Toilets,"7,500,000"
983,FLAT / APARTMENT FOR RENT,Ogudu Gra Ogudu Lagos,"Updated 17 Nov 2020, Added 21 Sep 2020",beds,baths,Toilets,"1,100,000"
984,3 BEDROOM FLAT / APARTMENT FOR RENT,-Ikeja Lagos,"Updated 17 Nov 2020, Added 16 Oct 2020",3 beds,3 baths,4 Toilets,"2,500,000"
985,3 BEDROOM FLAT / APARTMENT FOR RENT,Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 11 Oct 2020",3 beds,baths,Toilets,"700,000"
986,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,-Anthony Village Maryland Lagos,"Updated 17 Nov 2020, Added 03 Nov 2020",1 beds,1 baths,2 Toilets,"800,000"
987,3 BEDROOM FLAT / APARTMENT FOR RENT,-Medina Gbagada Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",3 beds,3 baths,4 Toilets,"1,200,000"
988,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,...Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 12 Nov 2020",1 beds,1 baths,2 Toilets,"700,000"
989,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 16 Nov 2019",3 beds,3 baths,3 Toilets,"12,000,000"
990,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
991,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Ajao Estate Isolo. Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 13 Oct 2020",1 beds,1 baths,1 Toilets,"400,000"
992,5 BEDROOM HOUSE FOR RENT,...Ikoyi Lagos,"Updated 17 Nov 2020, Added 10 Sep 2020",5 beds,5 baths,6 Toilets,"20,000,000"
993,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 20 Oct 2020",3 beds,3 baths,4 Toilets,"4,500,000"
994,3 BEDROOM FLAT / APARTMENT FOR RENT,...Surulere Lagos,"Updated 17 Nov 2020, Added 15 Oct 2020",3 beds,0 baths,0 Toilets,"2,500,000"
995,3 BEDROOM FLAT / APARTMENT FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 12 Dec 2019",3 beds,3 baths,3 Toilets,"9,500,000"
996,SHOW ROOM COMMERCIAL PROPERTY FOR RENT,Ajao estate isoloAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 22 Sep 2020",beds,baths,Toilets,"7,000,000"
997,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Ajao estate isolo.Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 01 Oct 2020",1 beds,1 baths,1 Toilets,"600,000"
998,4 BEDROOM FLAT / APARTMENT FOR RENT,Yaba Lagos,"Updated 17 Nov 2020, Added 28 Oct 2020",4 beds,baths,Toilets,"2,000,000"
999,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Eko Atlantic Victoria Island Lagos,"Updated 17 Nov 2020, Added 12 Nov 2019",4 beds,4 baths,4 Toilets,"17,000,000"
1000,1 BEDROOM MINI FLAT SELF CONTAIN FLAT / APARTMENT FOR SALE,Taiye Olowu Street Off Victoria Arobieke. Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 08 Jun 2020",1 beds,1 baths,2 Toilets,"50,000,000"
1001,4 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT,Banana Island Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Aug 2020",4 beds,4 baths,Toilets,"10,000,000"
1002,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 12 Dec 2019",3 beds,3 baths,3 Toilets,"15,000,000"
1003,3 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,...Maryland Ikeja Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",3 beds,3 baths,4 Toilets,"3,500,000"
1004,5 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 19 Nov 2019",5 beds,5 baths,5 Toilets,"25,000,000"
1005,4 BEDROOM FLAT / APARTMENT FOR RENT,Osborne Foreshore Osborne Foreshore Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 07 Sep 2020",4 beds,4 baths,5 Toilets,"10,000,000"
1006,5 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Nov 2019",5 beds,baths,Toilets,"35,000,000"
1007,3 BEDROOM FLAT / APARTMENT FOR RENT,off Glover Road Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"8,500,000"
1008,BOYS QUARTERS FLAT / APARTMENT FOR RENT,...Sabo Yaba Lagos,"Updated 17 Nov 2020, Added 10 Nov 2020",0 beds,0 baths,0 Toilets,"700,000"
1009,3 BEDROOM FLAT / APARTMENT FOR RENT,Yusuf abiodun Street oniru estate Victoria island Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 29 Jan 2020",3 beds,3 baths,3 Toilets,"6,000,000"
1010,3 BEDROOM FLAT / APARTMENT FOR RENT,Victoria Island Lagos,"Updated 17 Nov 2020, Added 31 Oct 2019",3 beds,baths,Toilets,"15,000,000"
1011,2 BEDROOM FLAT / APARTMENT FOR RENT,Magodo Gra Phase 2 Kosofe Ikosi Lagos,"Updated 17 Nov 2020, Added 11 Nov 2020",2 beds,2 baths,2 Toilets,"800,000"
1012,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
1013,3 BEDROOM MASSIONETTE HOUSE FOR RENT,Oba Elegushi streetIkoyi Lagos,"Updated 17 Nov 2020, Added 29 Jun 2020",3 beds,3 baths,4 Toilets,"9,000,000"
1014,3 BEDROOM FLAT / APARTMENT FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 23 Sep 2020",3 beds,3 baths,4 Toilets,"4,500,000"
1015,2 BEDROOM FLAT / APARTMENT FOR RENT,...Sabo Yaba Lagos,"Updated 17 Nov 2020, Added 27 Oct 2020",2 beds,0 baths,0 Toilets,"1,500,000"
1016,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 05 Jun 2020",3 beds,3 baths,4 Toilets,"10,000,000"
1017,2 BEDROOM FLAT / APARTMENT FOR RENT,Ajah Lagos,"Updated 17 Nov 2020, Added 17 Sep 2020",2 beds,baths,Toilets,"700,000"
1018,2 BEDROOM FLAT / APARTMENT FOR RENT,....Ogudu Lagos,"Updated 17 Nov 2020, Added 10 Oct 2020",2 beds,0 baths,0 Toilets,"1,000,000"
1019,3 BEDROOM BLOCKS OF FLATS HOUSE FOR RENT,Ajao Estate Isolo. Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",3 beds,3 baths,3 Toilets,"750,000"
1020,5 BEDROOM TERRACED DUPLEX HOUSE FOR RENT,Ikeja GRA.Lagos MainlandIkeja Gra Ikeja Lagos,"Updated 17 Nov 2020, Added 30 Oct 2020",5 beds,5 baths,6 Toilets,"13,000,000"
1021,3 BEDROOM FLAT / APARTMENT FOR RENT,...Akoka Yaba Lagos,"Updated 17 Nov 2020, Added 17 Oct 2020",3 beds,3 baths,4 Toilets,"1,100,000"
1022,COMMERCIAL LAND LAND FOR SALE,"Fountain springville Estate, Sangotedo, lagos. Sangotedo Lagos","Updated 18 Nov 2020, Added 15 Sep 2020",beds,baths,Toilets,"450,000,000"
1023,MINI FLAT FLAT / APARTMENT FOR RENT,Fola Agoro Yaba Lagos,"Updated 17 Nov 2020, Added 19 Oct 2020",beds,baths,Toilets,"700,000"
1024,4 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR RENT,Lekki Phase 1 Lekki Lagos,"Updated 17 Nov 2020, Added 04 Sep 2020",4 beds,baths,Toilets,"6,500,000"
1025,4 BEDROOM DETACHED DUPLEX HOUSE FOR RENT,Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 10 Oct 2020",4 beds,4 baths,5 Toilets,"6,500,000"
1026,4 BEDROOM DETACHED BUNGALOW HOUSE FOR RENT,Chevron lekki lagos state Nigeria Chevron Lekki Lagos,"Updated 17 Nov 2020, Added 24 Sep 2020",4 beds,4 baths,4 Toilets,"4,500,000"
1027,1 BEDROOM MINI FLAT PENTHOUSE FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 08 Nov 2019",1 beds,1 baths,1 Toilets,"7,000,000"
1028,4 BEDROOM PENTHOUSE FLAT / APARTMENT FOR RENT,Ikoyi Lagos,"Updated 17 Nov 2020, Added 12 Nov 2020",4 beds,4 baths,5 Toilets,"8,500,000"
1029,3 BEDROOM FLAT / APARTMENT FOR RENT,Aguda Surulere Lagos,"Updated 17 Nov 2020, Added 22 Sep 2020",3 beds,baths,Toilets,"1,500,000"
1030,3 BEDROOM FLAT / APARTMENT FOR RENT,Ebute Metta Yaba Lagos,"Updated 17 Nov 2020, Added 04 Nov 2020",3 beds,baths,Toilets,"1,300,000"
1031,COMMERCIAL PROPERTY FOR RENT,Akin Adesola Victoria Island Lagos,"Updated 17 Nov 2020, Added 24 Dec 2019",beds,baths,Toilets,"45,000,000"
1032,4 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 13 Nov 2020",4 beds,4 baths,5 Toilets,"12,000,000"
1033,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,-Phase 2 Gbagada Lagos,"Updated 17 Nov 2020, Added 13 Nov 2020",1 beds,1 baths,2 Toilets,"700,000"
1034,COMMERCIAL PROPERTY FOR RENT,...Aminu Kano Crescent Wuse 2 Abuja,"Updated 17 Nov 2020, Added 25 Jul 2020",beds,baths,3 Toilets,"6,500,000/year"
1035,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 28 Oct 2020",3 beds,3 baths,4 Toilets,"4,000,000"
1036,3 BEDROOM FLAT / APARTMENT FOR RENT,Parkview Estate Ikoyi Lagos,"Updated 17 Nov 2020, Added 24 Oct 2020",3 beds,3 baths,4 Toilets,"5,000,000"
1037,MINI FLAT FLAT / APARTMENT FOR RENT,Abule Ijesha Yaba Lagos,"Updated 17 Nov 2020, Added 06 Nov 2020",beds,baths,Toilets,"600,000"
1038,3 BEDROOM FLAT / APARTMENT FOR RENT,Ladi -lakShomolu Shomolu Lagos,"Updated 17 Nov 2020, Added 09 Nov 2020",3 beds,baths,Toilets,"900,000"
1039,3 BEDROOM FLAT / APARTMENT FOR RENT,Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 29 Oct 2020",3 beds,3 baths,4 Toilets,"4,500,000"
1040,3 BEDROOM FLAT / APARTMENT FOR RENT,Ejigbo.Lagos MainlandEjigbo Ejigbo Lagos,"Updated 17 Nov 2020, Added 22 Oct 2020",3 beds,3 baths,3 Toilets,"400,000"
1041,3 BEDROOM FLAT / APARTMENT FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 04 Nov 2019",3 beds,baths,Toilets,"18,000,000"
1042,3 BEDROOM FLAT / APARTMENT FOR RENT,Taslim Elias closeVictoria Island Lagos,"Updated 17 Nov 2020, Added 02 Sep 2020",3 beds,3 baths,4 Toilets,"12,000,000"
1043,3 BEDROOM FLAT / APARTMENT FOR RENT,...Surulere Lagos,"Updated 17 Nov 2020, Added 06 Oct 2020",3 beds,0 baths,0 Toilets,"1,100,000"
1044,5 BEDROOM SEMI DETACHED DUPLEX HOUSE FOR SALE,chevron Lekki Lagos,"Updated 19 Nov 2020, Added 11 Nov 2020",5 beds,6 baths,6 Toilets,"80,000,000"
1045,1 BEDROOM MINI FLAT MINI FLAT FLAT / APARTMENT FOR RENT,Mafoluku.Lagos mainlandMafoluku Oshodi Lagos,"Updated 17 Nov 2020, Added 30 Sep 2020",1 beds,1 baths,1 Toilets,"400,000"
1046,2 BEDROOM FLAT / APARTMENT FOR RENT,Mushin Lagos,"Updated 17 Nov 2020, Added 20 Sep 2020",2 beds,baths,Toilets,"800,000"
1047,3 BEDROOM FLAT / APARTMENT FOR RENT,-Ebute Metta Yaba Lagos,"Updated 17 Nov 2020, Added 19 Oct 2020",3 beds,0 baths,0 Toilets,"1,300,000"
1048,MINI FLAT FLAT / APARTMENT FOR RENT,Shomolu Shomolu Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",beds,baths,Toilets,"400,000"
1049,1 BEDROOM MINI FLAT BLOCKS OF FLATS HOUSE FOR RENT,Ajao Estate Isolo. Lagos MainlandAjao Estate Isolo Lagos,"Updated 17 Nov 2020, Added 12 Oct 2020",1 beds,1 baths,1 Toilets,"450,000"
1050,3 BEDROOM SHARED APARTMENT FLAT / APARTMENT FOR RENT,Off palace road oniru estate Victoria island Lagos state Nigeria Oniru Victoria Island Lagos,"Updated 17 Nov 2020, Added 27 Jan 2020",3 beds,3 baths,3 Toilets,"4,000,000"
1051,4 BEDROOM MASSIONETTE HOUSE FOR RENT,Old Ikoyi Ikoyi Lagos,"Updated 17 Nov 2020, Added 03 Jul 2020",4 beds,4 baths,5 Toilets,"12,000,000"
