,title,address,date_added,bedroom,bathroom,toilet,parking_space,price
237,1 bedroom mini flat for rent,"By Blenco Supermarket And Sky Mall, Sangotedo, Ajah, Lagos",Added on 06 Nov 2020,1,1,2,4,700000.00
238,2 bedroom flat for rent,"First Bank Estate, Abuledo, Satellite Town, Ojo, Lagos",Added on 06 Nov 2020,2,2,1,4,500000.00
239,2 bedroom flat for rent,"Bashorun Town, Opposite Fara Park Estate, Sangotedo, Ajah, Lagos",Added on 05 Nov 2020,1,3,4,2,700000.00
240,1 bedroom mini flat for rent,"Seaside Estate, Badore, Ajah, Lagos",Added on 05 Nov 2020,1,1,4,2,450000.00
241,1 bedroom mini flat for rent,"Coca Cola Bus-stop, Badore Road, Ajah, Lagos",Added on 05 Nov 2020,1,3,4,2,500000.00
242,3 bedroom flat for rent,"Lekki, Lagos",Added on 05 Nov 2020,3,3,3,2,3000000.00
243,4 bedroom flat for rent,"Adebayo Dorherty Street, Lekki Phase 1, Lekki, Lagos",Added on 16 Apr 2019,3,3,4,2,4500000.00
244,2 bedroom flat for rent,"Jojo Bus Stop, Obawole, Ifako-Ijaiye, Lagos",Added on 25 Oct 2019,3,3,4,1,500000.00
245,2 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 20 May 2020,2,3,1,4,2500000.00
246,4 bedroom flat for rent,"Sunny Villa Estate Addo Badore Road, Ajah, Lagos",Added on 05 Nov 2020,2,3,2,2,1000000.00
247,2 bedroom flat for rent,"Seaside Estate, Badore, Ajah, Lagos",Added on 05 Nov 2020,1,2,4,4,850000.00
248,2 bedroom flat for rent,"Ocean Garden Estate New Road Opposite Chevron, Lekki, Lagos",Added on 05 Nov 2020,1,2,1,1,1400000.00
249,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added on 05 Nov 2020,1,2,4,1,4000000.00
250,3 bedroom flat for rent,"Bankole Cardosso, Off G̩rard Road, Ikoyi, Lagos",Added on 05 Nov 2020,3,3,4,3,11000000.00
251,1 bedroom mini flat for rent,"Itedo, Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,2,1,4,2,1800000.00
252,Self contained (single rooms) for rent,"By Dorren, Thomas Estate, Ajah, Lagos",Added on 05 Nov 2020,3,4,4,10,400000.00
253,3 bedroom flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 24 Oct 2020,3,3,3,2,2800000.00
254,3 bedroom flat for rent,"Osapa, Lekki, Lagos",Added on 05 Nov 2020,4,2,4,1,2200000.00
255,3 bedroom flat for rent,"Ikeja GRA, Ikeja, Lagos",Added on 05 Nov 2020,1,1,3,6,4700000.00
256,3 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 02 Jun 2020,1,2,3,5,13000000.00
257,3 bedroom flat for rent,"Old Ikoyi, Ikoyi, Lagos",Added on 05 Nov 2020,3,1,3,5,15000000.00
258,3 bedroom flat for rent,"Off 1st Avenue, Old Ikoyi, Ikoyi, Lagos",Added on 05 Nov 2020,1,1,4,6,8500000.00
259,1 bedroom mini flat for rent,"Valley View, Iyana Ipaja, Ipaja, Lagos",Added on 05 Nov 2020,3,1,1,2,350000.00
260,2 bedroom flat for rent,"Canaan Road, Lekki Phase 1, Lekki, Lagos",Added on 06 Feb 2020,3,3,5,2,1500000.00
261,3 bedroom flat for rent,"Before Awoyeye After Mayfair Garden Estate Sweet House, Ibeju Lekki, Lagos",Added on 05 Nov 2020,3,3,4,1,700000.00
262,1 bedroom mini flat for rent,"Lekki Phase 1, Lekki, Lagos",Added on 05 Nov 2020,1,3,4,2,1400000.00
263,3 bedroom flat for rent,"Spg, Ologolo, Lekki, Lagos",Added on 05 Nov 2020,2,3,1,1,2000000.00
264,3 bedroom flat for rent,"Idado, Lekki, Lagos",Added on 05 Nov 2020,3,1,3,1,2000000.00
265,3 bedroom flat for rent,"Osapa London, Lekki, Lagos",Added on 05 Nov 2020,2,2,1,4,2200000.00
266,3 bedroom flat for rent,"Off Agbauku Street, Opebi, Ikeja, Lagos",Added on 05 Nov 2020,3,1,1,3,2100000.00
267,3 bedroom flat for rent,"Oniru, Victoria Island (VI), Lagos",Added on 22 Sep 2020,2,1,4,12,4000000.00
268,3 bedroom flat for rent,"Spg, Ologolo, Lekki, Lagos",Added on 05 Nov 2020,3,1,4,10,1700000.00
269,2 bedroom flat for rent,"Banana Island, Ikoyi, Lagos",Added on 05 Nov 2020,3,2,4,1,10000000.00
270,2 bedroom flat for rent,"Yaba, Lagos",Added on 24 Sep 2020,2,1,3,2,900000.00
271,2 bedroom flat for rent,"Banana Island Estate, Banana Island, Ikoyi, Lagos",Added on 05 Nov 2020,2,3,1,200,10500000.00
